"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio","Nombre del conjunto de anuncios",Puja,"Tipo de puja","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Último cambio significativo","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Impresiones,"Costo por resultados","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Importe gastado (ARS)",Finalización,"Clics en el enlace","Compras en el sitio web","Compras en Facebook","Valor de conversión de compras en el sitio web","ROAS (retorno de la inversión en publicidad) de compras en el sitio web"
2022-05-10,2022-05-10,"Serum Hyaluronic",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",4,actions:offsite_conversion.fb_pixel_add_to_cart,3307,3668,218.37,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes",873.48,2022-05-26,29,,,,
2022-05-10,2022-05-10,"Crema 360",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",5,actions:offsite_conversion.fb_pixel_add_to_cart,1180,1318,76.892,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes",384.46,2022-05-26,8,,,,
2022-05-10,2022-05-10,"Hydra Filler Light",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",,,1621,1771,,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,339.08,2022-05-26,10,,,,
2022-05-10,2022-05-10,"Kit Día",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",,,1985,2233,,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes",548.91,2022-05-26,12,,,,
2022-05-10,2022-05-10,"Kit Noche",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",,,994,1139,,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes",212.04,2022-05-26,6,,,,
2022-05-09,2022-05-09,"Serum Hyaluronic",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",,,3799,4193,,Promedio,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",903.78,2022-05-26,37,,,,
2022-05-09,2022-05-09,"Crema 360",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",,,1026,1120,,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,271.39,2022-05-26,9,,,,
2022-05-09,2022-05-09,"Hydra Filler Light",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",4,actions:offsite_conversion.fb_pixel_add_to_cart,1918,2097,93.4825,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,373.93,2022-05-26,9,,,,
2022-05-09,2022-05-09,"Kit Día",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",,,2819,3153,,Promedio,Promedio,Promedio,641.83,2022-05-26,24,,,,
2022-05-09,2022-05-09,"Kit Noche",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",,,1695,1922,,Promedio,Promedio,Promedio,310.92,2022-05-26,5,,,,
2022-05-08,2022-05-08,"Serum Hyaluronic",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",2,actions:offsite_conversion.fb_pixel_add_to_cart,3052,3327,334.745,Promedio,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",669.49,2022-05-26,23,,,,
2022-05-08,2022-05-08,"Crema 360",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",,,1278,1420,,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,357.44,2022-05-26,7,,,,
2022-05-08,2022-05-08,"Hydra Filler Light",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",,,3629,3960,,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,609.54,2022-05-26,10,,,,
2022-05-08,2022-05-08,"Kit Día",active,"Conversión Mayo 2022 Conjunto de anuncios",0,ABSOLUTE_OCPM,"Con el presupuesto de la campaña",0,0,"7 días después de hacer clic o 1 día tras la visualización",,,2376,2661,,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,633.02,2022-05-26,11,,,,
